Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bazarbackdoor,0.9393333333333334,0.027438820836342217,0.9317855173953127,0.030830266979707737,0.9486666666666667,0.03333999933346663,0.9398580084275934,0.02736183911375572,0.06999999999986,0.03214550253657889,0.9486666666647692,0.03333999933339994,0.00363438105583186,0.0006616787563077883
bazarbackdoor_v2,0.9513333333333335,0.01978776277287442,0.9337246942626798,0.028781917213188617,0.9726666666666668,0.02393509742802166,0.9524392918861883,0.01929643056339847,0.06999999999986,0.03214550253657889,0.9726666666647211,0.02393509742797378,0.0036256508032480378,0.0005487936636769337
bazarbackdoor_v3,0.7176666666666667,0.04128626352136454,0.8803328345568041,0.04868291683623248,0.5053333333333333,0.08716778201963282,0.6374020155059038,0.0727171732962524,0.06999999999986,0.03214550253657889,0.5053333333323227,0.08716778201945848,0.003577633539835562,0.0007699782292196247
bigviktor,0.5163333333333333,0.028223315814332593,0.5851563251563251,0.1848726730967661,0.10266666666666668,0.04781445620544296,0.17214590408423602,0.0740824836214239,0.06999999999986,0.03214550253657889,0.10266666666646129,0.04781445620534733,0.0032576496601104243,0.00034339682175904307
bumblebee,0.9496666666666668,0.017220788470785977,0.9336468727888843,0.0287450539577975,0.9693333333333334,0.021746008573733464,0.9507503657189584,0.01655979657009831,0.06999999999986,0.03214550253657889,0.9693333333313945,0.02174600857368995,0.0036867349942524734,0.0004865023703310194
ccleaner,0.7756666666666666,0.03818231120412815,0.900277960523329,0.042778565991709296,0.6213333333333334,0.07356327586204651,0.7324468081753411,0.05651105563426799,0.06999999999986,0.03214550253657889,0.6213333333320906,0.0735632758618994,0.00375743571917211,0.0009335209881340241
dmsniff,0.9079999999999999,0.09491750804426614,0.9207007840644551,0.05392672377454551,0.886,0.18469073248722218,0.8936397919842081,0.13710135172932164,0.06999999999986,0.03214550253657889,0.885999999998228,0.18469073248685278,0.003420883178710889,0.0004521877075203586
enviserv,0.8223333333333334,0.03221628297753929,0.9119844681183138,0.0389868732247573,0.7146666666666666,0.05817979794472381,0.7998675215692174,0.04118768314774506,0.06999999999986,0.03214550253657889,0.7146666666652373,0.058179797944607446,0.003339528719584099,0.0004218490888020085
fosniw,0.46499999999999997,0.016072751268321583,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999986,0.03214550253657889,0.0,0.0,0.003658015966415356,0.0006550571781344016
goz,0.965,0.016072751268321597,0.9354270332754279,0.028238082139190813,1.0,0.0,0.9664170033637827,0.015035066710260949,0.06999999999986,0.03214550253657889,0.9999999999979999,0.0,0.003680784861246696,0.00047749944403710926
gozi_rfc4343,0.6113333333333333,0.03159465496286078,0.8115298412744233,0.08762862885517829,0.29266666666666663,0.056209923995283566,0.42703504728271724,0.06503134734726841,0.06999999999986,0.03214550253657889,0.2926666666660814,0.056209923995171156,0.003327034711837719,0.0005847857763524003
infy,0.5953333333333333,0.03612324582438417,0.7898988800730288,0.08990740560448189,0.26066666666666666,0.06602693053259068,0.3879022822827734,0.08056249159447845,0.06999999999986,0.03214550253657889,0.2606666666661453,0.06602693053245862,0.0037856965859730542,0.0018617995846555544
monerodownloader,0.965,0.016072751268321597,0.9354270332754279,0.028238082139190813,1.0,0.0,0.9664170033637827,0.015035066710260949,0.06999999999986,0.03214550253657889,0.9999999999979999,0.0,0.0036147835254668704,0.0004731217932774269
newgoz,0.965,0.016072751268321597,0.9354270332754279,0.028238082139190813,1.0,0.0,0.9664170033637827,0.015035066710260949,0.06999999999986,0.03214550253657889,0.9999999999979999,0.0,0.003707504272460888,0.0007766287500590463
ngioweb,0.5290000000000001,0.028907899727698427,0.645805860805861,0.15192451031817203,0.12800000000000003,0.046072406781789324,0.21135718308588372,0.06819989519327417,0.06999999999986,0.03214550253657889,0.12799999999974399,0.046072406781697176,0.003301572799682568,0.00039428078777868235
pandabanker,0.8499999999999996,0.03396076167186676,0.917334180709012,0.036596981919496105,0.7700000000000001,0.05507570547286103,0.8361869316471816,0.040044139928920135,0.06999999999986,0.03214550253657889,0.76999999999846,0.055075705472750855,0.0034414594173430907,0.0005136703690791969
