Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bazarbackdoor,0.8059999999999999,0.03929376540877699,0.9211402532556161,0.04526463996779704,0.67,0.06465291950097844,0.7740725374768826,0.05172444451764179,0.057999999999884005,0.034389921004008374,0.6699999999986601,0.06465291950084916,0.006272991577784171,0.0008056558418349075
bazarbackdoor_v2,0.7086666666666666,0.031169785940162554,0.8948173589256918,0.05390672966170307,0.47533333333333333,0.060372915192898294,0.6179964314979681,0.05320928376401872,0.057999999999884005,0.034389921004008374,0.4753333333323827,0.060372915192777536,0.006155728340148875,0.0008840859857589167
bazarbackdoor_v3,0.47866666666666663,0.017461067804945055,0.18870370370370368,0.17968011890667118,0.015333333333333332,0.015216949614017771,0.028050729429047305,0.02744563072440555,0.057999999999884005,0.034389921004008374,0.015333333333302664,0.015216949613987334,0.0058835232257842505,0.0007394207106866102
bigviktor,0.5173333333333334,0.02365492666561357,0.6297608872608874,0.15624686761511772,0.09266666666666669,0.03161574853701167,0.15983347912846327,0.05097800472242757,0.057999999999884005,0.034389921004008374,0.09266666666648132,0.031615748536948436,0.005952486435572258,0.0007079774283500316
bumblebee,0.8809999999999999,0.032898834832457736,0.9346107861228251,0.0365644135553889,0.8200000000000001,0.04704607670500626,0.8728751260977504,0.036343247939566455,0.057999999999884005,0.034389921004008374,0.8199999999983599,0.047046076704912176,0.00599570361773168,0.0007214072935164553
ccleaner,0.8856666666666667,0.035372619668639506,0.935592534090904,0.03614787023466159,0.8293333333333333,0.0588179866669674,0.8780423200330237,0.039582417772262325,0.057999999999884005,0.034389921004008374,0.8293333333316745,0.05881798666684978,0.006388328949610344,0.0007702806709558952
dmsniff,0.9026666666666667,0.09309254654494216,0.9356330047732604,0.034825592035278324,0.8633333333333333,0.18576568275354008,0.8856684229307685,0.13617542700127558,0.057999999999884005,0.034389921004008374,0.8633333333316066,0.18576568275316852,0.006221281687418571,0.0007857251160367504
enviserv,0.8983333333333334,0.029561611743761367,0.9374124910389112,0.035341907115297555,0.8546666666666666,0.04410089442277661,0.8934032755899274,0.031652594778746566,0.057999999999884005,0.034389921004008374,0.8546666666649574,0.044100894422688414,0.0061620849768320215,0.0011063065330427153
fosniw,0.471,0.01719496050203857,0.0,0.0,0.0,0.0,0.0,0.0,0.057999999999884005,0.034389921004008374,0.0,0.0,0.006102920214335074,0.0008739286204861085
goz,0.971,0.01719496050203857,0.9461498043697159,0.029871829720048426,1.0,0.0,0.9720844686900204,0.01599158122995062,0.057999999999884005,0.034389921004008374,0.9999999999979999,0.0,0.006206236600875805,0.00099039517397314
gozi_rfc4343,0.7756666666666666,0.03441737287411048,0.9145350798011548,0.04705589970702579,0.6093333333333334,0.05579326920775381,0.7297914823379519,0.047350309610840476,0.057999999999884005,0.034389921004008374,0.6093333333321147,0.055793269207642215,0.006267352978388418,0.0008197406417538435
infy,0.6353333333333335,0.03712441544620229,0.8520573032586202,0.07802471380810595,0.32866666666666666,0.06463916941160538,0.4710809588296412,0.0719173169811444,0.057999999999884005,0.034389921004008374,0.32866666666600935,0.06463916941147613,0.006173726797103833,0.0008409399467473706
monerodownloader,0.971,0.01719496050203857,0.9461498043697159,0.029871829720048426,1.0,0.0,0.9720844686900204,0.01599158122995062,0.057999999999884005,0.034389921004008374,0.9999999999979999,0.0,0.005802765766779534,0.0007331776332326994
newgoz,0.971,0.01719496050203857,0.9461498043697159,0.029871829720048426,1.0,0.0,0.9720844686900204,0.01599158122995062,0.057999999999884005,0.034389921004008374,0.9999999999979999,0.0,0.006442214330037386,0.0009959109012087736
ngioweb,0.5396666666666667,0.03381156935461917,0.7026087338587338,0.1470056528583073,0.13733333333333336,0.054829027186538905,0.22645210105102412,0.08095234261781699,0.057999999999884005,0.034389921004008374,0.13733333333305867,0.05482902718642925,0.006115041653315176,0.0011178549388124993
pandabanker,0.9213333333333333,0.029181424837652372,0.9406917748240741,0.03245989650526446,0.9006666666666666,0.05098583681333038,0.9191929845844016,0.03127990748056657,0.057999999999884005,0.034389921004008374,0.9006666666648655,0.050985836813228415,0.006171525398890128,0.0010391111149947092
pizd,0.4756666666666666,0.018562207723101135,0.1525793650793651,0.23245544346123492,0.009333333333333332,0.012364824660660937,0.01728302935833991,0.02270898144627029,0.057999999999884005,0.034389921004008374,0.009333333333314665,0.012364824660636207,0.005987812439600577,0.0009147813669538515
reconyc,0.9543333333333334,0.024315061633115836,0.9442443054228481,0.030894780079674902,0.9666666666666668,0.029814239699997202,0.9549307114168503,0.024022304899366638,0.057999999999884005,0.034389921004008374,0.966666666664733,0.029814239699937566,0.0062231777509053066,0.001020402303695803
sharkbot,0.971,0.01719496050203857,0.9461498043697159,0.029871829720048426,1.0,0.0,0.9720844686900204,0.01599158122995062,0.057999999999884005,0.034389921004008374,0.9999999999979999,0.0,0.0062309135595956956,0.000975198462538195
szribi,0.9253333333333333,0.02789663460387688,0.9407178304356998,0.0336407110660594,0.9086666666666666,0.03293765153876166,0.9240623826199378,0.028090337064454844,0.057999999999884005,0.034389921004008374,0.9086666666648494,0.032937651538695795,0.005809139013290355,0.0008337067448574933
torpig,0.9280000000000002,0.025612496949731375,0.9413808277317143,0.03262576152953071,0.9140000000000001,0.037999999999999985,0.9268576871833711,0.026185264641512974,0.057999999999884005,0.034389921004008374,0.9139999999981719,0.037999999999924004,0.005837302049001008,0.0010740738996807395
tufik,0.9696666666666667,0.017220788470785984,0.9460395280385737,0.02988519867176479,0.9973333333333334,0.008537498983243803,0.9707321613671502,0.016068606402484458,0.057999999999884005,0.034389921004008374,0.9973333333313387,0.008537498983226713,0.0059639136791228755,0.000860555177692618
verblecon,0.971,0.01719496050203857,0.9461498043697159,0.029871829720048426,1.0,0.0,0.9720844686900204,0.01599158122995062,0.057999999999884005,0.034389921004008374,0.9999999999979999,0.0,0.006221929311752272,0.0010867780925195552
wd,0.971,0.01719496050203857,0.9461498043697159,0.029871829720048426,1.0,0.0,0.9720844686900204,0.01599158122995062,0.057999999999884005,0.034389921004008374,0.9999999999979999,0.0,0.005998126904169671,0.0010051918650268042
xshellghost,0.9503333333333334,0.02136716068071644,0.9439767408133641,0.031051784067846182,0.9586666666666669,0.02578543947441828,0.9508440676393998,0.020697516501819103,0.057999999999884005,0.034389921004008374,0.9586666666647492,0.025785439474366713,0.005871037244796704,0.0009100465228821735
GLOBAL_MEAN,0.8180266666666668,0.027695160587899236,0.8133360533861698,0.05809235836668081,0.6940533333333333,0.03525104521478028,0.7213470680284808,0.035693337049852995,0.057999999999884005,0.034389921004008374,0.6940533333319451,0.03525104521470977,0.006098290580113679,0.0009045061194895464
