Family,Accuracy,Acc_std,Precision,Pre_std,Recall,Rec_std,F1-Score,F1_std,FPR,FPR_std,TPR,TPR_std,Query_Time_Mean,Query_Time_Std
bazarbackdoor,0.8973333333333334,0.02792052212182924,0.9715097958624093,0.02541685610912347,0.8193333333333334,0.0537855825374132,0.8878456971457925,0.03258625000737471,0.024666666666617335,0.022910453703206955,0.8193333333316948,0.05378558253730564,0.12455953121185298,0.005041419471425435
bazarbackdoor_v2,0.5446666666666666,0.021868292622475617,0.8387879712879714,0.1374996590557926,0.11400000000000003,0.04294182110716779,0.19749202527354165,0.06669744661792944,0.024666666666617335,0.022910453703206955,0.113999999999772,0.04294182110708189,0.12781465236345926,0.004389133721668333
bazarbackdoor_v3,0.5223333333333334,0.01977933826552907,0.7534126984126985,0.22460886750315118,0.06933333333333333,0.03957552554574888,0.12406034626034274,0.06525926142975745,0.024666666666617335,0.022910453703206955,0.06933333333319466,0.039575525545669725,0.12010854776700336,0.003566486457164645
bigviktor,0.5723333333333334,0.030186457596449123,0.875048655048655,0.12126067276372642,0.16933333333333334,0.055553777749332435,0.27995988788300025,0.08168002364892814,0.024666666666617335,0.022910453703206955,0.16933333333299463,0.055553777749221316,0.1206870396137237,0.006270489762990743
bumblebee,0.48900000000000005,0.011930353445448861,0.06111111111111111,0.15801625170364328,0.0026666666666666666,0.006798692684790381,0.005104015481373972,0.01301324313341968,0.024666666666617335,0.022910453703206955,0.002666666666661333,0.006798692684776783,0.1253023796876271,0.002488086062609448
ccleaner,0.8453333333333333,0.03499841266241783,0.9668616202481265,0.029990958049775206,0.7153333333333334,0.061031867814191045,0.8209670947392673,0.044399187745512374,0.024666666666617335,0.022910453703206955,0.7153333333319029,0.06103186781406899,0.12617795546849567,0.003300448545688557
dmsniff,0.98,0.027928480087537882,0.975859652617699,0.022271264344493596,0.9846666666666668,0.04807863928560745,0.9795801435789596,0.03025922015848371,0.024666666666617335,0.022910453703206955,0.9846666666646974,0.04807863928551127,0.12057469391822812,0.0035735255684127155
enviserv,0.6146666666666666,0.02486407493196204,0.916490573696456,0.07276922529882655,0.25400000000000006,0.0482078831727758,0.39499500024280454,0.060020797406173214,0.024666666666617335,0.022910453703206955,0.253999999999492,0.04820788317267938,0.12310092322031656,0.004703491764750196
fosniw,0.5179999999999999,0.051211977765623015,0.26509199134199135,0.3854459440995278,0.06066666666666666,0.10475155793060498,0.09583759146226216,0.1583490795689051,0.024666666666617335,0.022910453703206955,0.06066666666654533,0.10475155793039546,0.1618275039196014,0.03131382308539468
goz,0.9876666666666665,0.011455226851626399,0.976407610832324,0.021494464049643995,1.0,0.0,0.9879423994325806,0.011089270167450278,0.024666666666617335,0.022910453703206955,0.9999999999979999,0.0,0.19493526673316955,0.006933363862210154
gozi_rfc4343,0.9123333333333332,0.025256462319352805,0.9724704030014925,0.02523012836638507,0.8493333333333334,0.04697043987682276,0.9058879335679685,0.028484740260963527,0.024666666666617335,0.022910453703206955,0.8493333333316345,0.04697043987672883,0.18686087497075402,0.010590424340852925
infy,0.4883333333333334,0.011279282877125757,0.02222222222222222,0.08314794192830981,0.0013333333333333333,0.004988876515698589,0.0025157232704402514,0.009412974557921866,0.024666666666617335,0.022910453703206955,0.0013333333333306666,0.0049888765156886105,0.17397113331158956,0.00836000681044272
monerodownloader,0.9876666666666665,0.011455226851626399,0.976407610832324,0.021494464049643995,1.0,0.0,0.9879423994325806,0.011089270167450278,0.024666666666617335,0.022910453703206955,0.9999999999979999,0.0,0.17430678820610043,0.005774213467553649
newgoz,0.9876666666666665,0.011455226851626399,0.976407610832324,0.021494464049643995,1.0,0.0,0.9879423994325806,0.011089270167450278,0.024666666666617335,0.022910453703206955,0.9999999999979999,0.0,0.19397358957926433,0.005893613048128142
ngioweb,0.545,0.02109502310972898,0.8417436267436267,0.13035309318660832,0.1146666666666667,0.03896437118987322,0.19907848324557614,0.06110572028048441,0.024666666666617335,0.022910453703206955,0.11466666666643731,0.03896437118979529,0.17632469900449116,0.005839732758953883
pandabanker,0.8830000000000002,0.034365680554879194,0.9699252709323762,0.027498107960577146,0.7906666666666666,0.05994071144797071,0.8700144119487878,0.04141827608543308,0.024666666666617335,0.022910453703206955,0.7906666666650853,0.05994071144785083,0.16829156867663067,0.00515450577474372
pizd,0.9016666666666668,0.03023059524536176,0.9716984188298462,0.02549812841078255,0.8280000000000001,0.056944417344166984,0.8929397645368947,0.03508622290179657,0.024666666666617335,0.022910453703206955,0.8279999999983441,0.056944417344053096,0.15986896991729735,0.004504325740723234
reconyc,0.9826666666666666,0.012892719737209155,0.9762133016137163,0.021569640952168574,0.99,0.01527525231651948,0.9828590635563255,0.012706513074700162,0.024666666666617335,0.022910453703206955,0.9899999999980199,0.015275252316488895,0.1705066033999125,0.014504336258933256
sharkbot,0.8443333333333333,0.012827920936595905,0.9674516621885041,0.029549264027566476,0.713333333333333,0.009428090415820642,0.820976178314345,0.01302833781398541,0.024666666666617335,0.022910453703206955,0.7133333333319066,0.009428090415801801,0.17325929617881775,0.004634479958293931
szribi,0.9626666666666667,0.016918103387266025,0.9753093228744489,0.022497632119681206,0.9500000000000003,0.028635642126552698,0.9620927152583383,0.017357749033819005,0.024666666666617335,0.022910453703206955,0.9499999999980997,0.02863564212649542,0.1582863069375356,0.0018283915431176613
torpig,0.9533333333333334,0.014907119849998594,0.9750077936293818,0.022669036551709827,0.9313333333333333,0.02997035572398534,0.9521577246656338,0.015582052844810497,0.024666666666617335,0.022910453703206955,0.9313333333314705,0.029970355723925424,0.160277104695638,0.003850348270216517
tufik,0.9876666666666665,0.011455226851626399,0.976407610832324,0.021494464049643995,1.0,0.0,0.9879423994325806,0.011089270167450278,0.024666666666617335,0.022910453703206955,0.9999999999979999,0.0,0.1696391266981761,0.0041891058262341786
verblecon,0.9863333333333332,0.011396880664852515,0.9763694006764667,0.02150995134628896,0.9973333333333334,0.006798692684790386,0.9865958608571544,0.011052045181824741,0.024666666666617335,0.022910453703206955,0.9973333333313387,0.006798692684776762,0.17208472545941672,0.00391430100434368
wd,0.9876666666666665,0.011455226851626399,0.976407610832324,0.021494464049643995,1.0,0.0,0.9879423994325806,0.011089270167450278,0.024666666666617335,0.022910453703206955,0.9999999999979999,0.0,0.19414410495758055,0.005086421923291756
xshellghost,0.9833333333333332,0.012736648783028545,0.9762087624492358,0.02171395523678936,0.9913333333333334,0.011175369742826817,0.983560440353368,0.01243980246601914,0.024666666666617335,0.022910453703206955,0.9913333333313505,0.011175369742804432,0.17023108084996544,0.006575883537814168
GLOBAL_MEAN,0.8146000000000001,0.020474819248912157,0.8452332923580024,0.0686395559705259,0.6538666666666667,0.030792702688506382,0.6913692839522032,0.03461541180221974,0.024666666666617335,0.022910453703206955,0.6538666666653589,0.030792702688444792,0.1578845786698659,0.006491214342638333
