,BiLSTM,Bilbo,Logit,CNN,DomURLs-BERT,LA_Bin07,ModernBERT
bazarbackdoor,0.9398580084275934,0.7740725374768826,0.918790779561704,0.7593245682175326,0.9578171359334255,0.3338479161719145,0.8878456971457925
bazarbackdoor_v2,0.9524392918861884,0.6179964314979681,0.8563090914055141,0.8238709208636261,0.9584543019997361,0.0224488975523888,0.19749202527354168
bazarbackdoor_v3,0.6374020155059038,0.0280507294290473,0.1762480957925166,0.14897496132799665,0.6110769834554101,0.0,0.12406034626034274
bigviktor,0.172145904084236,0.1598334791284632,0.2991047930789359,0.20982531926343906,0.37249301889242203,0.17315054676304384,0.27995988788300025
bumblebee,0.9507503657189584,0.8728751260977504,0.9249553792950164,0.7728026270520902,0.9570618352504703,0.0,0.005104015481373972
ccleaner,0.7324468081753411,0.8780423200330237,0.947258617352825,0.8754987956149927,0.9307809383878184,0.8359463776339832,0.8209670947392673
dmsniff,0.8936397919842081,0.8856684229307685,0.958751961218812,0.9209365410106413,0.8429218872508116,0.9599591696737734,0.9795801435789595
enviserv,0.7998675215692174,0.8934032755899274,0.9695596559813108,0.8966246546446538,0.9211806974280051,0.7263724228013572,0.3949950002428046
fosniw,0.0,0.0,0.0,0.0,0.0,0.0,0.09583759146226216
goz,0.9664170033637828,0.9720844686900204,0.9797134017574144,0.9773744702715985,0.9814951928414675,0.9809204079740047,0.9879423994325804
gozi_rfc4343,0.4270350472827172,0.7297914823379519,0.8068784420165148,0.5932304870469717,0.46618080803306705,0.798256693523854,0.9058879335679685
infy,0.3879022822827734,0.4710809588296412,0.6626192173566278,0.586318997906439,0.6589224382401223,0.1476878332670662,0.0025157232704402514
monerodownloader,0.9664170033637828,0.9720844686900204,0.9770148038418596,0.97501922131555,0.9811586886028084,0.9809204079740047,0.9879423994325804
newgoz,0.9664170033637828,0.9720844686900204,0.9797134017574144,0.9777107860276744,0.9814951928414675,0.9809204079740047,0.9879423994325804
ngioweb,0.2113571830858837,0.2264521010510241,0.827829136325019,0.3977969503461135,0.3945247776837605,0.19352549055740173,0.19907848324557617
pandabanker,0.8361869316471816,0.9191929845844016,0.9598171438068988,0.8957657261473896,0.9541280990598888,0.9229876893433995,0.8700144119487878
pizd,0.0457074197070088,0.0172830293583399,0.171850481349768,0.3377105504150871,0.8231911676680266,0.7110743235966402,0.8929397645368947
reconyc,0.9349369495472236,0.9549307114168504,0.9619566047040728,0.9561275501015992,0.9650702764941989,0.9224668436060532,0.9828590635563255
sharkbot,0.9664170033637828,0.9720844686900204,0.9797134017574144,0.9010675657533701,0.9814951928414675,0.903860950487174,0.820976178314345
szribi,0.8931639019867404,0.9240623826199378,0.9159862099804456,0.8599943001683161,0.9439257742062307,0.8962747546866306,0.9620927152583383
torpig,0.8882504949134938,0.9268576871833712,0.925126167947084,0.905222823093811,0.9467065828713882,0.9100626845878723,0.9521577246656338
tufik,0.9657372648016912,0.9707321613671502,0.9797134017574144,0.977038694935823,0.9811586886028084,0.9795600678583605,0.9879423994325804
verblecon,0.9643942101787965,0.9720844686900204,0.9797134017574144,0.9616708462054998,0.9814951928414675,0.9700710173750259,0.9865958608571543
wd,0.9664170033637828,0.9720844686900204,0.9797134017574144,0.9614178889654371,0.9814951928414675,0.9809204079740047,0.9879423994325804
xshellghost,0.9358085304228446,0.9508440676393998,0.9657497702114928,0.9595654737480054,0.974073765213069,0.9672657651408184,0.9835604403533679
