model_a,model_b,n,mean_a,mean_b,stat,p_raw,p_bonf,sig
LA_Bin07,ModernBERT,54,0.9433034780316752,0.9579316567077124,0.0,1.487638540769439e-10,3.124040935615822e-09,True
Logit,ModernBERT,54,0.9027848698502872,0.9579316567077124,0.0,1.4879293086441086e-10,3.1246515481526282e-09,True
DomURLs-BERT,ModernBERT,54,0.905345827308755,0.9579316567077124,0.0,1.5146056945993007e-10,3.1806719586585314e-09,True
BiLSTM,ModernBERT,54,0.8556412635570653,0.9579316567077124,0.0,1.5577049424461065e-10,3.2711803791368237e-09,True
CNN,ModernBERT,54,0.9010097815620801,0.9579316567077124,0.0,1.5577049424461065e-10,3.2711803791368237e-09,True
Bilbo,ModernBERT,54,0.8999627152926996,0.9579316567077124,0.0,1.5882851758522403e-10,3.3353988692897046e-09,True
CNN,LA_Bin07,54,0.9010097815620801,0.9433034780316752,2.0,1.7436150317542857e-10,3.661591566684e-09,True
BiLSTM,LA_Bin07,54,0.8556412635570653,0.9433034780316752,26.0,6.660750359505847e-10,1.398757575496228e-08,True
BiLSTM,DomURLs-BERT,54,0.8556412635570653,0.905345827308755,35.0,1.0848927719502403e-09,2.2782748210955046e-08,True
Bilbo,LA_Bin07,54,0.8999627152926996,0.9433034780316752,74.0,8.454666239437902e-09,1.7754799102819594e-07,True
BiLSTM,Bilbo,54,0.8556412635570653,0.8999627152926996,89.0,1.8129022953534834e-08,3.807094820242315e-07,True
BiLSTM,Logit,54,0.8556412635570653,0.9027848698502872,121.0,8.474923383546891e-08,1.779733910544847e-06,True
LA_Bin07,Logit,54,0.9433034780316752,0.9027848698502872,147.0,2.8053061470191915e-07,5.891142908740302e-06,True
BiLSTM,CNN,54,0.8556412635570653,0.9010097815620801,162.0,5.702987297655723e-07,1.1976273325077019e-05,True
CNN,Logit,54,0.9010097815620801,0.9027848698502872,287.0,8.638510871092463e-05,0.0018140872829294171,True
CNN,DomURLs-BERT,54,0.9010097815620801,0.905345827308755,366.0,0.0011776930335534136,0.024731553704621684,True
DomURLs-BERT,LA_Bin07,54,0.905345827308755,0.9433034780316752,379.0,0.0017301523114634566,0.03633319854073259,True
Bilbo,Logit,54,0.8999627152926996,0.9027848698502872,387.0,0.002197719865721827,0.04615211718015837,True
Bilbo,DomURLs-BERT,54,0.8999627152926996,0.905345827308755,432.0,0.0074837685652431665,0.1571591398701065,False
Bilbo,CNN,54,0.8999627152926996,0.9010097815620801,679.0,0.5844049977543362,1.0,False
DomURLs-BERT,Logit,54,0.905345827308755,0.9027848698502872,548.0,0.09344102193442123,1.0,False
