model_a,model_b,n,mean_a,mean_b,stat,p_raw,p_bonf,sig
Bilbo,Logit,25,0.7213470680284808,0.804163470470836,10.0,6.225721711521093e-05,0.0013074015594194293,True
Logit,CNN,25,0.804163470470836,0.7452356288177462,22.0,0.000255042253184011,0.005355887316864231,True
BiLSTM,DomURLs-BERT,25,0.7360445976010765,0.8219321531792322,26.0,0.00039311071880522856,0.0082553250949098,True
DomURLs-BERT,LA_Bin07,25,0.8219321531792322,0.651940043060911,34.0,0.0009165548286915975,0.019247651402523547,True
CNN,DomURLs-BERT,25,0.7452356288177462,0.8219321531792322,34.0,0.0009187757254428566,0.01929429023429999,True
Bilbo,DomURLs-BERT,25,0.7213470680284808,0.8219321531792322,35.0,0.0010051823632949593,0.021108829629194144,True
Logit,LA_Bin07,25,0.804163470470836,0.651940043060911,47.0,0.0032456795396797094,0.0681592703332739,False
BiLSTM,Logit,25,0.7360445976010765,0.804163470470836,56.0,0.007207847896932711,0.15136480583558692,False
LA_Bin07,ModernBERT,25,0.651940043060911,0.6913692839522032,82.0,0.03023583350834511,0.6349525036752472,False
BiLSTM,ModernBERT,25,0.7360445976010765,0.6913692839522032,139.0,0.5269957134413585,1.0,False
Bilbo,CNN,25,0.7213470680284808,0.7452356288177462,129.0,0.5485062355001472,1.0,False
BiLSTM,CNN,25,0.7360445976010765,0.7452356288177462,107.0,0.21923253328133308,1.0,False
Bilbo,ModernBERT,25,0.7213470680284808,0.6913692839522032,142.0,0.5810569860136827,1.0,False
Bilbo,LA_Bin07,25,0.7213470680284808,0.651940043060911,102.0,0.1700233403932343,1.0,False
BiLSTM,LA_Bin07,25,0.7360445976010765,0.651940043060911,148.0,0.9544081553516124,1.0,False
BiLSTM,Bilbo,25,0.7360445976010765,0.7213470680284808,114.0,0.30318720174134894,1.0,False
Logit,ModernBERT,25,0.804163470470836,0.6913692839522032,128.0,0.3530400288049943,1.0,False
Logit,DomURLs-BERT,25,0.804163470470836,0.8219321531792322,110.0,0.25261322293488475,1.0,False
CNN,ModernBERT,25,0.7452356288177462,0.6913692839522032,153.0,0.8119303584098816,1.0,False
CNN,LA_Bin07,25,0.7452356288177462,0.651940043060911,120.0,0.39136593830755195,1.0,False
DomURLs-BERT,ModernBERT,25,0.8219321531792322,0.6913692839522032,118.0,0.23106165218126684,1.0,False
