Model,Family,Accuracy,Acc_std,F1,F1_std,Precision,Pre_std,Recall,Rec_std,FPR,FPR_std
BiLSTM,charbot,0.6183333333333334,0.0386508588376621,0.4339574719480598,0.0792211567810796,0.8321714491219135,0.0898480185620609,0.2966666666666667,0.0663492443229176,0.06,0.032659863237109
Bilbo,charbot,0.7346666666666665,0.0480092583663702,0.6597577230215514,0.0768249078559218,0.9061203895180328,0.0507114132722974,0.5233333333333333,0.0874960316560446,0.054,0.029732137494637
CNN,charbot,0.7099999999999997,0.0424264068711928,0.6120110088053199,0.0712638894813122,0.9133192213324648,0.0498448227446275,0.4633333333333332,0.0748479941095432,0.0433333333332466,0.0253421037449469
DomBERT,charbot,0.7166666666666668,0.034960294939005,0.6195514034537112,0.0604390536459867,0.9360159485114626,0.04967687225524,0.466,0.0641144809435954,0.0326666666666013,0.0265748419039398
FANCI,charbot,0.6020000000000001,0.0504248615929351,0.4589630090900196,0.0843767397136407,0.7121264253046687,0.0996794591325157,0.342,0.0770021644717428,0.1379999999997239,0.0524976189935217
LABin,charbot,0.7946666666666667,0.0431071017608725,0.7486336168689754,0.0635369610405444,0.951683292515598,0.0322844958751433,0.62,0.0772873426463436,0.0306666666666053,0.0191369334591714
Logit,charbot,0.7190000000000001,0.0313421973277773,0.6263885369655026,0.0530671085045596,0.9303247449239452,0.0492571656885068,0.4746666666666667,0.0563165655518476,0.0366666666666666,0.0268741924943284
ModernBERT,charbot,0.8623333333333334,0.0326275275734395,0.8438836291269332,0.0414454531931345,0.9664115174867532,0.0286531881276164,0.7513333333333333,0.0618995602210189,0.0266666666666666,0.0232856655954306
BiLSTM,deception,0.9646666666666666,0.0189267594221045,0.9657071585565784,0.0182483868184053,0.9436819084917496,0.0299224883043238,0.9893333333333332,0.0152606975230128,0.06,0.032659863237109
Bilbo,deception,0.9696666666666665,0.0149406232206766,0.970535159390844,0.0141993099011806,0.9492466700519128,0.0266007084334821,0.9933333333333334,0.0119256958799988,0.054,0.029732137494637
CNN,deception,0.8463333333333333,0.035822091259755,0.8260436030272952,0.0463750570334745,0.9444370534521428,0.0319510568650362,0.736,0.0609699379475929,0.0433333333332466,0.0253421037449469
DomBERT,deception,0.937,0.0246508958593124,0.9348225851455504,0.0257121049443141,0.9657613664103456,0.0272814044675524,0.9066666666666666,0.0369984984680309,0.0326666666666013,0.0265748419039398
FANCI,deception,0.9306666666666666,0.0268245327183075,0.9356812034316342,0.0234142125095836,0.880487520815353,0.040384380379423,0.9993333333333332,0.003590109871423,0.1379999999997239,0.0524976189935217
LABin,deception,0.9846666666666668,0.0095684667296048,0.9849857915545982,0.0092921059969486,0.9705811206921084,0.0180630553800262,1.0,0.0,0.0306666666666053,0.0191369334591714
Logit,deception,0.9816666666666668,0.0134370962471642,0.9821668895352392,0.0128968005856595,0.965272837081938,0.024795857770097,1.0,0.0,0.0366666666666666,0.0268741924943284
ModernBERT,deception,0.9863333333333332,0.0119675487140108,0.9866352098900968,0.0116179653165341,0.9744971030394632,0.0219009125649859,0.9993333333333332,0.003590109871423,0.0266666666666666,0.0232856655954306
BiLSTM,gozi,0.6166666666666667,0.111843144130022,0.403405791033619,0.2007913865928033,0.7952140615624935,0.1194722871023754,0.2933333333333333,0.2134999349466463,0.06,0.032659863237109
Bilbo,gozi,0.6856666666666666,0.1006208505010544,0.5517151291899453,0.1678487985862112,0.8799617904828014,0.0649406861685645,0.4253333333333333,0.2039564223608127,0.054,0.029732137494637
CNN,gozi,0.6420000000000001,0.1058426505085103,0.4492997238006444,0.194952730308635,0.8547155732623732,0.1115772545798176,0.3273333333333334,0.2067838377522662,0.0433333333332466,0.0253421037449469
DomBERT,gozi,0.6396666666666665,0.0970732827415567,0.4378747635780062,0.1787065344861386,0.8948176297942848,0.0816538242393245,0.312,0.1960680154096192,0.0326666666666013,0.0265748419039398
FANCI,gozi,0.5630000000000001,0.081574097195944,0.360373512186026,0.1565048158214655,0.6326653454904229,0.1371050101262776,0.2639999999999999,0.1526127998126849,0.1379999999997239,0.0524976189935217
LABin,gozi,0.763,0.0868005376327435,0.6884911065386883,0.1267381841346293,0.944310933622342,0.0358198215579159,0.5566666666666666,0.1679748658447315,0.0306666666666053,0.0191369334591714
Logit,gozi,0.716,0.0828894846567806,0.6087226210204462,0.1366363451090993,0.9220981287855352,0.0604709947572506,0.4686666666666667,0.1608878146066037,0.0366666666666666,0.0268741924943284
ModernBERT,gozi,0.8676666666666666,0.0502449555234707,0.8484708138828729,0.0616411388503003,0.9672408265742356,0.0275112135812287,0.7619999999999999,0.1037111372997133,0.0266666666666666,0.0232856655954306
BiLSTM,manuelita,0.5043333333333334,0.0240393196428037,0.1195388799578765,0.0623156514076455,0.5488961038961038,0.2278459221301377,0.0686666666666666,0.0378359029964339,0.06,0.032659863237109
Bilbo,manuelita,0.5126666666666667,0.0212811862660165,0.1382881324278369,0.0552694926261106,0.5957443482443483,0.1745708010853308,0.0793333333333333,0.034052247437659,0.054,0.029732137494637
CNN,manuelita,0.5046666666666667,0.0229104537032527,0.0939142184392575,0.0650986262765576,0.4801190476190476,0.2635086441761551,0.0526666666666666,0.0377653574353827,0.0433333333332466,0.0253421037449469
DomBERT,manuelita,0.5226666666666666,0.0217460085737334,0.1374152708367919,0.0706345905417565,0.6849206349206349,0.2338422400843557,0.078,0.0423792402008341,0.0326666666666013,0.0265748419039398
FANCI,manuelita,0.4933333333333333,0.0367272227222382,0.1961568776629497,0.062769274185796,0.480031390178449,0.1413513119584803,0.1246666666666666,0.0424839839102795,0.1379999999997239,0.0524976189935217
LABin,manuelita,0.512,0.0177763888346311,0.0983852739601098,0.0617430152598099,0.5850925925925926,0.2441354142276571,0.0546666666666666,0.0361232458243841,0.0306666666666053,0.0191369334591714
Logit,manuelita,0.5156666666666667,0.0187409237291608,0.119984406469533,0.0668786701970306,0.6299023199023198,0.2518995176585109,0.068,0.0408574758561188,0.0366666666666666,0.0268741924943284
ModernBERT,manuelita,0.533,0.0203551795210293,0.1629400650117103,0.0645375061413817,0.7924819624819626,0.1735543399866904,0.0926666666666666,0.0404914257041605,0.0266666666666666,0.0232856655954306
BiLSTM,matsnu,0.8403333333333333,0.03894297825739,0.8215141631635843,0.0474409576812226,0.9256710983022196,0.0412091117572273,0.7406666666666666,0.063136536349583,0.06,0.032659863237109
Bilbo,matsnu,0.9273333333333332,0.0222011010737955,0.9258127800334374,0.0231083238493127,0.94477776310104,0.0287757141356972,0.9086666666666668,0.0352829829930646,0.054,0.029732137494637
CNN,matsnu,0.822,0.0342928563989644,0.7930222491172396,0.0447384958475906,0.9411316992419132,0.0333484846744918,0.6873333333333331,0.0607691442171838,0.0433333333332466,0.0253421037449469
DomBERT,matsnu,0.8826666666666667,0.0278008792826574,0.8711415287500741,0.0325690258246552,0.9615819141070874,0.0298872691231337,0.7979999999999999,0.0504248615929351,0.0326666666666013,0.0265748419039398
FANCI,matsnu,0.671,0.0397785536857906,0.591915867795931,0.0555473625906102,0.7803489950003801,0.0699877833927024,0.4800000000000001,0.0615358973824764,0.1379999999997239,0.0524976189935217
LABin,matsnu,0.945,0.0154380482358791,0.9435340156077706,0.0163293557047083,0.9681634351015636,0.0193976695849083,0.9206666666666669,0.0255516905289823,0.0306666666666053,0.0191369334591714
Logit,matsnu,0.8133333333333334,0.0286744175568087,0.7794939725615244,0.0382898053164339,0.9488187493217204,0.0361663572197852,0.6633333333333333,0.0506183980606085,0.0366666666666666,0.0268741924943284
ModernBERT,matsnu,0.971,0.0151327459504215,0.9709250253596334,0.0152026332171938,0.9737936944218802,0.0224074840391272,0.9686666666666668,0.0229104537032527,0.0266666666666666,0.0232856655954306
BiLSTM,nymaim,0.546,0.023607908279501,0.248950227616998,0.0562704123674074,0.730884107722343,0.138209484186873,0.152,0.0395305788809962,0.06,0.032659863237109
Bilbo,nymaim,0.6946666666666668,0.0297470820230974,0.5896027022041351,0.0569105924396687,0.8946897947412705,0.0492201302393906,0.4433333333333333,0.0638922704419104,0.054,0.029732137494637
CNN,nymaim,0.6406666666666666,0.0237954243967663,0.4722686031414484,0.0545277955056572,0.887520980596058,0.0569180816504445,0.3246666666666666,0.0528351734695321,0.0433333333332466,0.0253421037449469
DomBERT,nymaim,0.5830000000000001,0.0293428015022424,0.3204858387663654,0.066014993386983,0.8620430957930958,0.1024844936004985,0.1986666666666666,0.0481479202273807,0.0326666666666013,0.0265748419039398
FANCI,nymaim,0.5359999999999999,0.0416813307529082,0.3092291788560007,0.0769178726465563,0.6032612572936304,0.123079217808666,0.21,0.0572130521239108,0.1379999999997239,0.0524976189935217
LABin,nymaim,0.8329999999999997,0.0307841950790769,0.8052393718235372,0.0423775781024664,0.9584486782310252,0.0257759140393414,0.6966666666666668,0.0604611904907235,0.0306666666666053,0.0191369334591714
Logit,nymaim,0.657,0.0343656805548791,0.5020153350028685,0.0720222169918016,0.909112385785794,0.0614472806445232,0.3506666666666668,0.0672772043282286,0.0366666666666666,0.0268741924943284
ModernBERT,nymaim,0.8926666666666668,0.0247565928368362,0.8828416107484555,0.0282885355429048,0.9687180769215408,0.0266268996482647,0.8119999999999999,0.041182520563948,0.0266666666666666,0.0232856655954306
BiLSTM,rovnix,0.8953333333333335,0.0311697859401625,0.8899092099792075,0.0344248500606087,0.9350037987376792,0.0346677236550968,0.8506666666666668,0.0513116837463836,0.06,0.032659863237109
Bilbo,rovnix,0.9406666666666668,0.0171139968706578,0.9403583037048208,0.0170783978370269,0.9464300229820456,0.0279005890068706,0.9353333333333336,0.0266749986983233,0.054,0.029732137494637
CNN,rovnix,0.916,0.0216948534603639,0.9122544162475648,0.023262699896951,0.9534400013734184,0.0261848043563457,0.8753333333333332,0.0341304686297872,0.0433333333332466,0.0253421037449469
DomBERT,rovnix,0.8993333333333334,0.0301035250796683,0.8910376282403646,0.0350107163981187,0.9632805083660606,0.028667869457438,0.8313333333333334,0.0590329474860343,0.0326666666666013,0.0265748419039398
FANCI,rovnix,0.743,0.0341711379188148,0.7066417953584805,0.0472882918440124,0.8228089341318445,0.0521003359718424,0.624,0.0687798420081542,0.1379999999997239,0.0524976189935217
LABin,rovnix,0.968,0.0122202018532155,0.967901845984961,0.0124481386758025,0.9697411838331564,0.0183998651925639,0.9666666666666668,0.0232856655954306,0.0306666666666053,0.0191369334591714
Logit,rovnix,0.9553333333333334,0.0192757763930679,0.9549832374040474,0.0194133254965071,0.9633598534931525,0.0263283673156763,0.9473333333333336,0.0250244325054979,0.0366666666666666,0.0268741924943284
ModernBERT,rovnix,0.9819999999999998,0.0135154232884755,0.9822254828713262,0.0133368969915643,0.9743028271675278,0.0219828000555681,0.9906666666666668,0.0152606975230128,0.0266666666666666,0.0232856655954306
BiLSTM,suppobox,0.5476666666666667,0.0736063101159736,0.2345275877104627,0.1810118005653545,0.6313459023689202,0.2856444112804356,0.1553333333333333,0.1439150984280508,0.06,0.032659863237109
Bilbo,suppobox,0.5189999999999999,0.0404433760542646,0.1543139536802705,0.1088050539346699,0.5640261638945849,0.2825440517823896,0.092,0.0712928233882392,0.054,0.029732137494637
CNN,suppobox,0.8076666666666668,0.113510156178007,0.751200825567322,0.1760748046631247,0.9291535807379244,0.0532019187840095,0.6586666666666666,0.2258573787936881,0.0433333333332466,0.0253421037449469
DomBERT,suppobox,0.7586666666666667,0.0791510510914977,0.6826729552479441,0.1314017399605599,0.9414661747379712,0.0578321721458606,0.55,0.154466824917197,0.0326666666666013,0.0265748419039398
FANCI,suppobox,0.4966666666666667,0.0369984984680309,0.2023255693594385,0.0863670211690958,0.4779875679875679,0.1422144583496224,0.1313333333333333,0.0625424300419767,0.1379999999997239,0.0524976189935217
LABin,suppobox,0.9786666666666668,0.0128409068561721,0.978894559655696,0.01268965274334,0.9702051520172656,0.0183719387237812,0.988,0.0151437555888007,0.0306666666666053,0.0191369334591714
Logit,suppobox,0.4930000000000001,0.0257099202643648,0.0395242474984282,0.0744051855641201,0.208998778998779,0.2760320679304073,0.0226666666666666,0.0452351878764996,0.0366666666666666,0.0268741924943284
ModernBERT,suppobox,0.982,0.0142361043360417,0.9822050246189966,0.0140801179982916,0.9743072641140528,0.0220850004947301,0.9906666666666668,0.0176886655485621,0.0266666666666666,0.0232856655954306
BiLSTM,MEAN_WORD_BASED,0.6916666666666667,0.04509838307820242,0.5146888112457982,0.08496557528431586,0.7928585537754278,0.12085243087231631,0.4433333333333333,0.07885495964925303,0.06,0.032659863237109
Bilbo,MEAN_WORD_BASED,0.7480416666666666,0.03679468429699163,0.6162979854566052,0.0650056096287628,0.8351246178770045,0.08815801176550285,0.5500833333333334,0.06682168410700658,0.054,0.029732137494637
CNN,MEAN_WORD_BASED,0.7361666666666666,0.05003686159710155,0.6137518310182615,0.08453676237666286,0.8629796447019178,0.07831688347886599,0.5156666666666666,0.09424491154437203,0.0433333333332466,0.0253421037449469
DomBERT,MEAN_WORD_BASED,0.7424583333333333,0.043103592383709165,0.6118752467523509,0.07506109489856409,0.9012359090801179,0.07641576817167542,0.5175833333333333,0.08145409865570334,0.0326666666666013,0.0265748419039398
FANCI,MEAN_WORD_BASED,0.6294583333333333,0.043522529381871164,0.47016087671756,0.07414819881009506,0.6737146795252895,0.10073774463994123,0.39691666666666664,0.06572003495283103,0.1379999999997239,0.0524976189935217
LABin,MEAN_WORD_BASED,0.847375,0.02856698087277444,0.7770081977492921,0.04314437395728118,0.9147782985757065,0.05153102182266717,0.7254166666666667,0.050728469564924536,0.0306666666666053,0.0191369334591714
Logit,MEAN_WORD_BASED,0.7313750000000001,0.03180443709125043,0.5766599058071987,0.05920118222065146,0.809735974786648,0.09829970112309466,0.49941666666666673,0.05577713484817559,0.0366666666666666,0.0268741924943284
ModernBERT,MEAN_WORD_BASED,0.884625,0.02285450971796565,0.8325158576887531,0.031268780906413135,0.948969159025927,0.04309022981227644,0.7959166666666666,0.03834182130438641,0.0266666666666666,0.0232856655954306
